id,created_at,text
1337883694141485061,2020-12-12 22:15:04,b'Suisse :...  #tourism #good #plans #100 #swiss #health #wellness #society #economy #politics\xe2\x80\xa6 https://t.co/nscWMQrHeC'
1337883564331896842,2020-12-12 22:14:33,b'We are facing the era of the digital economy\xf0\x9f\x92\xb0\nWhat are you waiting to be part of it?\n#Mining  #cloudmining #Bitcoin\xe2\x80\xa6 https://t.co/uqPOvmzYwj'
1337883082704248838,2020-12-12 22:12:38,b'Chart Patterns to Watch This Week 12-12-2020 https://t.co/8TO93KP7QS $NIO $AYRO $CGC $SOLO $WKHS $NKLA $SPY $QQQ\xe2\x80\xa6 https://t.co/NhfWX0yR5b'
1337882956719910912,2020-12-12 22:12:08,b'Stock-market uncertainty runs high headed into Fed\xe2\x80\x99s final meeting of 2020 https://t.co/1csiSvGK8L $SPY $QQQ $DJIA\xe2\x80\xa6 https://t.co/xFgs9EGDRS'
1337882613856530432,2020-12-12 22:10:46,"b'Americans increasingly see the stock market as a barometer just for the rich, not the whole economy\xe2\x80\xa6 https://t.co/NgmfQTWPsA'"
1337882488711098373,2020-12-12 22:10:16,b'Year-end Santa rally could depend on the big week ahead for markets https://t.co/GcIhqvQc7F $SPY $QQQ $DJIA $DIA\xe2\x80\xa6 https://t.co/uhtLo4UXFg'
1337882233126998016,2020-12-12 22:09:15,b'RT @GoldbeckRecruit: \xf0\x9f\x92\x89A Dose of Confidence? \xf0\x9f\x99\x8f\n \nVaccine-related cautious optimism providing a shot in the arm for an economy in slow recove\xe2\x80\xa6'
1337882068835962881,2020-12-12 22:08:36,"b'Wow, huge disruption (not the Silly Valley kind) to both EU and UK biz *and*  people post-#Brexit - The Guardian:\xe2\x80\xa6 https://t.co/RLcON0kPu6'"
1337881949432647680,2020-12-12 22:08:08,"b'RT @arabnewspk: #OPINION: #Pakistan must sophisticate its #economy by venturing into high-productivity, tech, and knowledge-based activitie\xe2\x80\xa6'"
1337881771292192768,2020-12-12 22:07:25,"b'\xf0\x9f\x92\xa1: If we never stop printing, there will never be another dip. Not even with another cause...\n#genius\xe2\x80\xa6 https://t.co/HTYcoScyuH'"
1337880914270035975,2020-12-12 22:04:01,b'https://t.co/umtSYqYWH9 &lt;---\nWhat #Biden In Office Would Mean For America-Carrie Geren Scoggins #Economy\xe2\x80\xa6 https://t.co/XASSE65ASd'
1337880594894770176,2020-12-12 22:02:45,"b'Vaccine Rollout, Fed Meeting To Drive Sentiment In The Week Ahead As 2020 Comes To A Close\n\n\xe2\x9c\x85Dow: +5.3% YTD\n\xe2\x9c\x85S&amp;P 50\xe2\x80\xa6 https://t.co/LyREbRpgAR'"
1337880479173804032,2020-12-12 22:02:17,b'RT @drharshvardhan: #\xe0\xa4\x95\xe0\xa5\x8b\xe0\xa4\xb0\xe0\xa5\x8b\xe0\xa4\xa8\xe0\xa4\xbe \xe0\xa4\x95\xe0\xa4\xbe\xe0\xa4\xb2 \xe0\xa4\xae\xe0\xa5\x87\xe0\xa4\x82 \xe0\xa4\xad\xe0\xa5\x80 PM \xe0\xa4\xb6\xe0\xa5\x8d\xe0\xa4\xb0\xe0\xa5\x80 @narendramodi \xe0\xa4\x9c\xe0\xa5\x80 \xe0\xa4\x95\xe0\xa5\x87 \xe0\xa4\xa8\xe0\xa5\x87\xe0\xa4\xa4\xe0\xa5\x83\xe0\xa4\xa4\xe0\xa5\x8d\xe0\xa4\xb5 \xe0\xa4\xae\xe0\xa5\x87\xe0\xa4\x82 \xe0\xa4\xa6\xe0\xa5\x87\xe0\xa4\xb6 \xe0\xa4\x95\xe0\xa5\x80 #economy \xe0\xa4\xa4\xe0\xa5\x87\xe0\xa4\x9c\xe0\xa4\xbc\xe0\xa5\x80 \xe0\xa4\xb8\xe0\xa5\x87 \xe0\xa4\x86\xe0\xa4\x97\xe0\xa5\x87 \xe0\xa4\xac\xe0\xa4\xa2\xe0\xa4\xbc \xe0\xa4\xb0\xe0\xa4\xb9\xe0\xa5\x80 \xe0\xa4\xb9\xe0\xa5\x88\xe0\xa5\xa4 \xe0\xa4\xae\xe0\xa5\x8b\xe0\xa4\xa6\xe0\xa5\x80 \xe0\xa4\xb8\xe0\xa4\xb0\xe0\xa4\x95\xe0\xa4\xbe\xe0\xa4\xb0 \xe0\xa4\x95\xe0\xa5\x80 \xe0\xa4\xa8\xe0\xa5\x80\xe0\xa4\xa4\xe0\xa4\xbf\xe2\x80\xa6'
1337880185522286601,2020-12-12 22:01:07,b'RT @GoldbeckRecruit: \xf0\x9f\x92\x89A Dose of Confidence? \xf0\x9f\x99\x8f\n \nVaccine-related cautious optimism providing a shot in the arm for an economy in slow recove\xe2\x80\xa6'
1337879939358527488,2020-12-12 22:00:08,b'\xf0\x9f\x92\x89A Dose of Confidence? \xf0\x9f\x99\x8f\n \nVaccine-related cautious optimism providing a shot in the arm for an economy in slow rec\xe2\x80\xa6 https://t.co/psvdbPXnI7'
1337879914817654784,2020-12-12 22:00:02,"b'Due to the #pandemic, Latin America\xe2\x80\x99s outlook has become glum and triggered a recession. Ricardo Ernst discusses ho\xe2\x80\xa6 https://t.co/7gMOG2EvIb'"
1337879770537848833,2020-12-12 21:59:28,b'Did anyone wonder why one of #BorisJohnson\xe2\x80\x99s first acts after #COVID #covid19 (#lie)#pandemic was called was to\xe2\x80\xa6 https://t.co/YrbCcS1Ri6'
1337879658331779074,2020-12-12 21:59:01,b'Domain For Sale \n\nhttps://t.co/ULk5xLftRl\xe2\x9c\x94\xef\xb8\x8f\n\n#domain #domainnames #alanad\xc4\xb1 #bitcoin #btc #cryptocurrency #crypto\xe2\x80\xa6 https://t.co/Dxkrmv3hto'
1337879602249814016,2020-12-12 21:58:48,"b'RT @arabnewspk: #OPINION: #Pakistan must sophisticate its #economy by venturing into high-productivity, tech, and knowledge-based activitie\xe2\x80\xa6'"
1337879225395793927,2020-12-12 21:57:18,b'https://t.co/umtSYqYWH9 &lt;---\nWhat #Biden In Office Would Mean For America-Carrie Geren Scoggins #Economy\xe2\x80\xa6 https://t.co/wllLoJim39'
1337878906121183233,2020-12-12 21:56:02,b'#COVID-19 Economic Recovery Hub | How is the #Economy Doing? https://t.co/QPPZXddNcn https://t.co/BFot2qvgjl'
1337878899825364993,2020-12-12 21:56:00,b'Oh Congressi taan wehle ne. Tusin te ttheek kar lo koi kamm. \n#economy #finance https://t.co/4pLSQhXG4r'
1337878755822354433,2020-12-12 21:55:26,b'groundwork for 10 trillion $ #india #economy is put in place whoever rules #post #coronavirus decade will reap\xe2\x80\xa6 https://t.co/BhgR0kt0kP'
1337878025451421697,2020-12-12 21:52:32,b'RT @Juchtervbergen: DigiChamber #CommercialLending #Economy #Newsbytes #ABADataBank ABA Data Bank: SBA Shows Banks Key to PPP Success https\xe2\x80\xa6'
1337877401318121475,2020-12-12 21:50:03,b'RT @TMGCanada: Benjamin Tal \xe2\x80\x93 6 Dark Months Followed By An Economic Explosion: https://t.co/P2hdVkLCDD #mortgages #realestate #personalfina\xe2\x80\xa6'
1337877043518742528,2020-12-12 21:48:38,"b'RT @freeag8: Nvidia Reaching $1 Trillion Will Be Tricky, But Growth Is Inevitable \xf0\x9f\x93\x88 https://t.co/wXmRG2NKp5 #business #economy #leadership\xe2\x80\xa6'"
1337876153181364226,2020-12-12 21:45:06,b'Croatia recorded biggest fall in employment income in coronavirus crisis https://t.co/0TQmnVI1Z2 #Economy https://t.co/eQQT8822Zi #news 108'
1337876146076180481,2020-12-12 21:45:04,"b""Canada's national net worth growing https://t.co/OuFU1Kt560 #Economy https://t.co/eQQT8822Zi #news 987"""
1337876128544026626,2020-12-12 21:45:00,"b""Promoting solutions with the innovators' own resources and inventiveness is one of the contributions of the Youth T\xe2\x80\xa6 https://t.co/BqrYlqmzI8"""
1337875218526842883,2020-12-12 21:41:23,b'RT @EconomicCrisis: Incoming #BidenAdministration faces #future &amp; catastrophic #DebtCrsis due to out of control #Deficit &amp; #NationalDebt co\xe2\x80\xa6'
1337874749498671106,2020-12-12 21:39:31,"b'RT @WSoaki: Hon. Dickson Mua, \xf0\x9f\x87\xb8\xf0\x9f\x87\xa7Environment Minister highlight #ClimateChange as the single greatest threat to #environment, livelihood and\xe2\x80\xa6'"
1337874631580114945,2020-12-12 21:39:03,b'RT @mvollmer1: Visualizing the Human Impact on the Ocean Economy. The ocean #economy is under threat. How are human activities impacting th\xe2\x80\xa6'
1337874122714587143,2020-12-12 21:37:02,"b'RT @mvollmer1: According to a recent @BCG survey of CFOs across the globe, 60% of CFOs express cautious optimism about 2021\xe2\x80\x94anticipating an\xe2\x80\xa6'"
1337873772632702977,2020-12-12 21:35:38,"b'RT @AntiDolos: \xe2\x9a\xa1\xef\xb8\x8fExpose #cryptocurrency scam\xe2\x9a\xa1\xef\xb8\x8f\n\n\xe2\x9c\x85#Digital_currencies like #Bitcoin have introduced new definitions to the #economy, &amp; where\xe2\x80\xa6'"
1337873522526318593,2020-12-12 21:34:38,"b'RT @AntiDolos: \xe2\x9a\xa1\xef\xb8\x8fExpose #cryptocurrency scam\xe2\x9a\xa1\xef\xb8\x8f\n\n\xe2\x9c\x85#Digital_currencies like #Bitcoin have introduced new definitions to the #economy, &amp; where\xe2\x80\xa6'"
1337873260374061058,2020-12-12 21:33:36,"b'You have no idea how that would help my family right now, and many other families. The subsidies for corporations a\xe2\x80\xa6 https://t.co/jBqkkmvbsB'"
1337872987580665856,2020-12-12 21:32:31,b'RT @mvollmer1: How President-Elect Biden Will Approach #GlobalTrade? The international #trade landscape has changed radically in the last 4\xe2\x80\xa6'
1337872967888478209,2020-12-12 21:32:26,"b'RT @mvollmer1: Visualizing the Most Populous Countries in the World. Today, the most populous countries in the world are #China, #India, an\xe2\x80\xa6'"
1337872939186872323,2020-12-12 21:32:19,b'Incoming #BidenAdministration faces #future &amp; catastrophic #DebtCrsis due to out of control #Deficit &amp;\xe2\x80\xa6 https://t.co/5efXnKoSJ9'
1337872737931563015,2020-12-12 21:31:31,"b'RT @arabnewspk: #OPINION: #Pakistan must sophisticate its #economy by venturing into high-productivity, tech, and knowledge-based activitie\xe2\x80\xa6'"
1337872731719802880,2020-12-12 21:31:30,"b'RT @leadlagreport: Despite the economic turmoil of 2020, residential construction has rebounded strongly to reach its highest level since 2\xe2\x80\xa6'"
1337872627466182659,2020-12-12 21:31:05,b'RT @fresh_sadegh: Another standoff in the offing: \n\nMajlis Research Center advises parliamentarians to reject the outlines of next year\xe2\x80\x99s b\xe2\x80\xa6'
