id,created_at,text
1337888918214086657,2020-12-12 22:35:49,b'RT @diginmag: So thrilled to be named as an official press partner of the upcoming\xf0\x9f\x93\xbd\xf0\x9f\x87\xab\xf0\x9f\x87\xb7@ParisIntlFest!! Much thanks \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbc\xe2\x9d\xa4\xef\xb8\x8fto Founder/Director @\xe2\x80\xa6'
1337888770339778561,2020-12-12 22:35:14,b'RT @taylorjesus: S\xc3\xa1bado de \xf0\x9f\x8e\xac\xf0\x9f\x8d\xbf\nRecomendaciones #Netflix y #PrimeVideo\xe2\x9d\x97\xef\xb8\x8f\n\xf0\x9f\x93\xbd Drama nominado en Venecia. Pierdes tu casa y le vendes tu alma al\xe2\x80\xa6'
1337888272375308293,2020-12-12 22:33:15,b'RT @diginmag: So thrilled to be named as an official press partner of the upcoming\xf0\x9f\x93\xbd\xf0\x9f\x87\xab\xf0\x9f\x87\xb7@ParisIntlFest!! Much thanks \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbc\xe2\x9d\xa4\xef\xb8\x8fto Founder/Director @\xe2\x80\xa6'
1337888096583561217,2020-12-12 22:32:33,b'RT @diginmag: So thrilled to be named as an official press partner of the upcoming\xf0\x9f\x93\xbd\xf0\x9f\x87\xab\xf0\x9f\x87\xb7@ParisIntlFest!! Much thanks \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbc\xe2\x9d\xa4\xef\xb8\x8fto Founder/Director @\xe2\x80\xa6'
1337887646270406657,2020-12-12 22:30:46,b'Get ready for a lot of cool changes happening at my website https://t.co/TPO1d5z5vI. This is the following changes\xe2\x80\xa6 https://t.co/Go853bTZtj'
1337887537629712384,2020-12-12 22:30:20,b'RT @RPAPodcast: Wanna try something different?\n\nTap a button. Enter a world.\n\nhttps://t.co/sWILLxMdeI\n\n#paranormal #ghosts #horror #movies\xe2\x80\xa6'
1337887493098795009,2020-12-12 22:30:09,b'We talk. You listen and #Subscribe now @youtube channel https://t.co/TtLLTjmxlP New #SciFi and TV videos weekly ALL\xe2\x80\xa6 https://t.co/66n1zCpVQP'
1337887484764516352,2020-12-12 22:30:07,b'The men look so attractive in this scene! Look at those pants that don\xe2\x80\x99t sag. Their shirts are tucked in. #musicals\xe2\x80\xa6 https://t.co/lCM0e9oM3d'
1337887357979115521,2020-12-12 22:29:37,b'RT @LCScreenTalk: Songbird tries to tie current COVID into a post-apocalyptic romance. And the results are not only CRINGE but OFFENSIVE.\xe2\x80\xa6'
1337887261497708549,2020-12-12 22:29:14,"b""#DavidCronenberg's controversial sex-and-car-collisions drama Crash gets the deluxe Arrow treatment with this stunn\xe2\x80\xa6 https://t.co/zOz8i8HhS7"""
1337887152269508608,2020-12-12 22:28:48,"b'\'Time\' Leads Influential Cinema Eye Honors Documentary Nominations (IndieWire)\n\n""Time"" nabs six nominations, follow\xe2\x80\xa6 https://t.co/yLqmekcm79'"
1337886953623187457,2020-12-12 22:28:01,"b""RT @SheriBiesen: That's a Mean river.\nRobert Mitchum #OutofthePast https://t.co/jrPYB83WnO https://t.co/kKFTwK6JNc #Film #Noir #TCMParty #M\xe2\x80\xa6"""
1337886848966930433,2020-12-12 22:27:36,b'Short Term 12 - 9/10. Written and directed by Destin Daniel Cretton is one of the most powerful movies of the decad\xe2\x80\xa6 https://t.co/vDdQGur6Dd'
1337886685800124417,2020-12-12 22:26:57,"b""RT @SheriBiesen: Orson Welles and Rita Hayworth  on Errol Flynn's yacht filming #TheLadyFromShanghai  https://t.co/YUiSWnXTsp https://t.co/\xe2\x80\xa6"""
1337886626949832706,2020-12-12 22:26:43,b'RT @SheriBiesen: Straight down the line. https://t.co/YUiSWnXTsp https://t.co/AbB6BmYQLa https://t.co/evFdO7wNM8 #Film #Noir #TCMParty #Fil\xe2\x80\xa6'
1337886586831245315,2020-12-12 22:26:33,b'https://t.co/Z3451pgh5R\nClick The link to subscribe \n\nMy latest Youtube Video (remade)\n\n#horror #horrormovies\xe2\x80\xa6 https://t.co/vvhUMbyU06'
1337886413732384769,2020-12-12 22:25:52,b'RT @SheriBiesen: Gorgeous #noir shot. \nRita Hayworth in #Gilda\nhttps://t.co/kKFTwK6JNc\nhttps://t.co/AbB6BmYQLa https://t.co/qMWyCvWZ7q http\xe2\x80\xa6'
1337886347953057801,2020-12-12 22:25:36,b'RT @SheriBiesen: Frank Sinatra - Just One Of Those Things https://t.co/YUiSWnXTsp https://t.co/AbB6BmYQLa https://t.co/qMWyCvWZ7q https://t\xe2\x80\xa6'
1337886249793753091,2020-12-12 22:25:13,"b'RT @keanuplanet: Pick your favorite(s) in this huge list of Keanu movies \xf0\x9f\x98\x89\xf0\x9f\x8e\xac:\n""His presence, effortless charisma and ability to calmly hold\xe2\x80\xa6'"
1337886230386798592,2020-12-12 22:25:08,"b'RT @sluts_guts: #NowWatching ""The Velocipastor Review"" from @DeckerShado! https://t.co/IoGzTPxePD #moviereview #movies'"
1337886124685971456,2020-12-12 22:24:43,b'RT @ridethepastlane: \xf0\x9f\x8e\xac\xe2\x99\xa6\xef\xb8\x8f\xf0\x9f\x8e\x84Henry Travers had a role as Clarence in It\xe2\x80\x99s a Wonderful Life (1946). He also had a role as Horace in The Bells of\xe2\x80\xa6'
1337885984730599425,2020-12-12 22:24:10,"b'RT @WatchIfYouDare: Our new episode on 1985\'s ""Fright Night"" with special guest Kelly is now out! Please listen, share, and subscribe!\n\n@po\xe2\x80\xa6'"
1337885944943439873,2020-12-12 22:24:00,"b'#NowWatching ""The Velocipastor Review"" from @DeckerShado! https://t.co/IoGzTPxePD #moviereview #movies'"
1337885744027852806,2020-12-12 22:23:12,b'Time for a fun Movie #TeenageMutantNinjaTurtles II Secret of the Ooze! \n#Movies \n\n@Tyranicus @DWSSG01 @IronApostle\xe2\x80\xa6 https://t.co/1fSN1g3zhF'
1337885557507166208,2020-12-12 22:22:28,b'RT @taylorjesus: S\xc3\xa1bado de \xf0\x9f\x8e\xac\xf0\x9f\x8d\xbf\nRecomendaciones #Netflix y #PrimeVideo\xe2\x9d\x97\xef\xb8\x8f\n\xf0\x9f\x93\xbd Drama nominado en Venecia. Pierdes tu casa y le vendes tu alma al\xe2\x80\xa6'
1337885532773253120,2020-12-12 22:22:22,"b'I Love #Binging out!\n#Music, #Movies,\n#Tvshows whatever brings Real joy to already crazy existence... \xe2\x9c\x8c\xef\xb8\x8f\xf0\x9f\x91\xbd https://t.co/AeJB6Lmgs4'"
1337885527056519169,2020-12-12 22:22:21,b'Similar movies with Leatherheads (2008):\n\n    - Poolhall Junkies\n    - The Thing Called Love\n    - Love Me or Leave\xe2\x80\xa6 https://t.co/nEf9Ozwd8w'
1337885510002466830,2020-12-12 22:22:16,b'A few good #movies\xe2\x80\xa6 -- #BadMovies #movies https://t.co/cT6G4x7p4y https://t.co/ZuqbKzpVj6'
1337885198449598464,2020-12-12 22:21:02,"b'RT @Gallifrey_GaryK: \xe2\x80\x98National Lampoon\xe2\x80\x99s Christmas Vacation\xe2\x80\x99 (1989) is the popular festive comedy film starring Chevy Chase, Beverly D\xe2\x80\x99Ange\xe2\x80\xa6'"
1337884954697609219,2020-12-12 22:20:04,b'Disney a officialis\xc3\xa9 la s\xc3\xa9rie She Hulk.\nTatiana Maslany aura le r\xc3\xb4le titre tandis que Mark Ruffalo appara\xc3\xaetra en Br\xe2\x80\xa6 https://t.co/FzQllEM3AD'
1337884609271406592,2020-12-12 22:18:42,b'RT @HigherVoltages: The Lord of the Rings trilogy might be the greatest cinematic achievement of all time. These films in 4K Dolby Vision a\xe2\x80\xa6'
1337884559690514432,2020-12-12 22:18:30,b'The Lord of the Rings trilogy might be the greatest cinematic achievement of all time. These films in 4K Dolby Visi\xe2\x80\xa6 https://t.co/DEud84iQet'
1337884131976507396,2020-12-12 22:16:48,"b'The call for submissions for the 2021 Oil Valley Film Festival is now open. Submit your films, screenplays, and new\xe2\x80\xa6 https://t.co/uslxDakq0G'"
1337884016847048704,2020-12-12 22:16:20,b'Sat down with the Festival Director of the Art is Alive Film Festival in August. Talked a little about the pandemic\xe2\x80\xa6 https://t.co/uRkh16Jq4y'
1337883867303342085,2020-12-12 22:15:45,"b'RT @officialenzari: For a certain generation of car fan and cinephile, the Cannonball Countach represents the most outrageous car ever buil\xe2\x80\xa6'"
1337883855634763778,2020-12-12 22:15:42,"b'Counterculture fail - 1969s ""Easy Rider"" is a hallucinogenic travesty. \n\n#amwriting #poem #movies'"
1337883285066805257,2020-12-12 22:13:26,b'RT @MainChannel_: \xf0\x9f\x98\x8eThe Maximum Exposure #Twitter #promotion #network for #indies &amp; #smallbiz\xf0\x9f\x98\x8e\n\n\xf0\x9f\x93\x9a#books #authors #publishers #IARTG\n\xf0\x9f\x8e\xb8#music\xe2\x80\xa6'
1337883015771541508,2020-12-12 22:12:22,"b'RT @JAdamany: #Movies to watch if you\'re still in #quarantine, #lockdown, #curfew, #StayAtHome or possibly soon to be (yet again): ""Star Tr\xe2\x80\xa6'"
1337883012973948934,2020-12-12 22:12:21,"b""RT @SahmReviews: If you're looking to cut the cord, check out this extensive list of #streaming services. There are a lot more available th\xe2\x80\xa6"""
1337882721188798464,2020-12-12 22:11:12,b'https://t.co/GiztYESr7M\nClick The link to subscribe \xe2\x8f\xab\xe2\x8f\xab\n\nMy latest Youtube Video (remade)\n\n#horror #horrormovies\xe2\x80\xa6 https://t.co/Vhb5qldJKV'
